ID_Ticket,Data_Retorno,Modelo,Capacidade,Tipo,Sintoma_Cliente,Diagnostico_Tecnico,Status_Garantia
RMA-447,2026-06-10,Patriot Viper,8GB,DDR4,Erro no MemTest86,Erro de paridade ECC,Aprovado
RMA-448,2026-06-10,Patriot Viper,64GB,DDR5,Artefatos no vídeo (iGPU),Erro de paridade ECC,Aprovado
RMA-449,2026-06-10,Corsair Dominator,64GB,DDR5,Não reconhece dual channel,Erro de paridade ECC,Rejeitado (Modificação)
RMA-450,2026-06-10,G.Skill Trident Z,16GB,DDR5,Erro no MemTest86,Falha no barramento de dados,Aprovado
RMA-451,2026-06-11,Patriot Viper,64GB,DDR4,Sistema não liga,Incompatibilidade de firmware,Aprovado
RMA-452,2026-06-11,ADATA XPG,64GB,DDR4,Congelamento aleatório,Pinos de contato oxidados,Aprovado
RMA-453,2026-06-12,ADATA XPG,64GB,DDR4,Frequência instável,Perfil XMP corrompido,Aprovado
RMA-454,2026-06-12,Crucial Pro,8GB,DDR5,Frequência instável,Erro de paridade ECC,Rejeitado (Dano Físico)
RMA-455,2026-06-12,Crucial Basics,64GB,DDR4,Sistema não liga,Pinos de contato oxidados,Aprovado
RMA-456,2026-06-12,Patriot Viper,8GB,DDR5,Frequência instável,Falha no barramento de dados,Aprovado
RMA-457,2026-06-12,Patriot Viper,64GB,DDR5,Sistema não liga,Incompatibilidade de firmware,Rejeitado (Dano Físico)
RMA-458,2026-06-13,Crucial Basics,32GB,DDR4,Luz de erro na placa-mãe,Erro de paridade ECC,Rejeitado (Modificação)
RMA-459,2026-06-15,TeamGroup T-Force,32GB,DDR4,Artefatos no vídeo (iGPU),Pinos de contato oxidados,Rejeitado (Dano Físico)
RMA-460,2026-06-15,Crucial Basics,32GB,DDR5,Artefatos no vídeo (iGPU),Falha térmica em carga alta,Aprovado
RMA-461,2026-06-15,Corsair Vengeance,64GB,DDR4,Blue Screen (BSOD),Curto-circuito no PCB,Rejeitado (Modificação)
RMA-462,2026-06-15,Corsair Dominator,8GB,DDR5,Reinicialização súbita,Falha térmica em carga alta,Aprovado
RMA-463,2026-06-16,ADATA XPG,8GB,DDR4,Reinicialização súbita,Falha térmica em carga alta,Aprovado
RMA-464,2026-06-16,Patriot Viper,64GB,DDR5,Erro no MemTest86,Erro de paridade ECC,Aprovado
RMA-465,2026-06-18,Patriot Viper,8GB,DDR4,Reinicialização súbita,Degradação de chip (SPD),Aprovado (Limpeza)
RMA-466,2026-06-18,Corsair Vengeance,32GB,DDR5,Congelamento aleatório,Pinos de contato oxidados,Aprovado
RMA-467,2026-06-18,ADATA XPG,8GB,DDR5,Frequência instável,Falha térmica em carga alta,Aprovado
RMA-468,2026-06-18,ADATA XPG,64GB,DDR4,Performance abaixo do esperado,Curto-circuito no PCB,Aprovado
RMA-469,2026-06-18,Kingston Fury,16GB,DDR4,Blue Screen (BSOD),Erro de paridade ECC,Aprovado
RMA-470,2026-06-19,Crucial Pro,8GB,DDR5,Erro no MemTest86,Incompatibilidade de firmware,Aprovado
RMA-471,2026-06-20,Corsair Vengeance,8GB,DDR4,Blue Screen (BSOD),Falha térmica em carga alta,Aprovado
RMA-472,2026-06-20,Corsair Vengeance,32GB,DDR4,Sistema não liga,Degradação de chip (SPD),Aprovado
RMA-473,2026-06-20,G.Skill Trident Z,16GB,DDR5,Reinicialização súbita,Degradação de chip (SPD),Aprovado
RMA-474,2026-06-20,Corsair Vengeance,16GB,DDR5,Sistema não liga,Pinos de contato oxidados,Aprovado
RMA-475,2026-06-21,Corsair Vengeance,64GB,DDR5,Não reconhece dual channel,Pinos de contato oxidados,Aprovado
RMA-476,2026-06-21,Kingston Fury,8GB,DDR4,Blue Screen (BSOD),Falha no barramento de dados,Aprovado
RMA-477,2026-06-21,Patriot Viper,16GB,DDR5,Performance abaixo do esperado,Incompatibilidade de firmware,Aprovado (Limpeza)
RMA-478,2026-06-22,Kingston Fury,32GB,DDR5,Sistema não liga,Falha no barramento de dados,Aprovado
RMA-479,2026-06-23,ADATA XPG,32GB,DDR5,Não reconhece dual channel,Erro de paridade ECC,Aprovado
RMA-480,2026-06-23,Corsair Vengeance,8GB,DDR5,Congelamento aleatório,Erro de paridade ECC,Aprovado
RMA-481,2026-06-23,Corsair Vengeance,64GB,DDR4,Erro no MemTest86,Incompatibilidade de firmware,Aprovado
RMA-482,2026-06-24,ADATA XPG,16GB,DDR4,Erro no MemTest86,Pinos de contato oxidados,Aprovado
RMA-483,2026-06-24,TeamGroup T-Force,64GB,DDR4,Luz de erro na placa-mãe,Falha térmica em carga alta,Aprovado
RMA-484,2026-06-25,Crucial Basics,32GB,DDR4,Erro no MemTest86,Capacitor SMD ausente,Aprovado
RMA-485,2026-06-25,TeamGroup T-Force,8GB,DDR4,Reinicialização súbita,Falha no barramento de dados,Aprovado
RMA-486,2026-06-25,Crucial Basics,16GB,DDR5,Performance abaixo do esperado,Degradação de chip (SPD),Aprovado
RMA-487,2026-06-26,Kingston Fury,8GB,DDR4,Frequência instável,Falha no barramento de dados,Aprovado
RMA-488,2026-06-27,Crucial Pro,64GB,DDR4,Não reconhece dual channel,Falha no barramento de dados,Rejeitado (Dano Físico)
RMA-489,2026-06-27,Corsair Vengeance,8GB,DDR4,Performance abaixo do esperado,Perfil XMP corrompido,Aprovado
RMA-490,2026-06-27,Crucial Basics,32GB,DDR5,Blue Screen (BSOD),Falha no barramento de dados,Aprovado
RMA-491,2026-06-27,Patriot Viper,64GB,DDR4,Luz de erro na placa-mãe,Incompatibilidade de firmware,Aprovado
RMA-492,2026-06-27,Crucial Pro,32GB,DDR5,Blue Screen (BSOD),Incompatibilidade de firmware,Aprovado
RMA-493,2026-06-27,G.Skill Trident Z,32GB,DDR4,Luz de erro na placa-mãe,Curto-circuito no PCB,Aprovado (Limpeza)
RMA-494,2026-06-27,TeamGroup T-Force,8GB,DDR4,Performance abaixo do esperado,Curto-circuito no PCB,Aprovado
RMA-495,2026-06-28,ADATA XPG,32GB,DDR5,Não reconhece dual channel,Curto-circuito no PCB,Aprovado
RMA-496,2026-06-28,Corsair Vengeance,64GB,DDR4,Blue Screen (BSOD),Erro de paridade ECC,Rejeitado (Modificação)
RMA-497,2026-06-29,Crucial Pro,64GB,DDR5,Erro no MemTest86,Erro de paridade ECC,Aprovado
RMA-498,2026-06-30,Patriot Viper,32GB,DDR4,Luz de erro na placa-mãe,Falha térmica em carga alta,Aprovado
RMA-499,2026-06-30,Patriot Viper,8GB,DDR5,Artefatos no vídeo (iGPU),Capacitor SMD ausente,Aprovado
RMA-500,2026-06-30,Patriot Viper,8GB,DDR5,Reinicialização súbita,Falha no barramento de dados,Aprovado
